[0.022s] Invoking command in '/home/oscar/robotino_ros2_ws/build/rto_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/oscar/control_ws/install/pose_controller:/home/oscar/ws_moveit2/install/moveit_configs_utils:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/oscar/robotino_ros2_ws/build/rto_description -- -j8 -l8
[0.103s] Invoked command in '/home/oscar/robotino_ros2_ws/build/rto_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/oscar/control_ws/install/pose_controller:/home/oscar/ws_moveit2/install/moveit_configs_utils:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/oscar/robotino_ros2_ws/build/rto_description -- -j8 -l8
[0.119s] Invoking command in '/home/oscar/robotino_ros2_ws/build/rto_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/oscar/control_ws/install/pose_controller:/home/oscar/ws_moveit2/install/moveit_configs_utils:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/oscar/robotino_ros2_ws/build/rto_description
[0.131s] -- Install configuration: ""
[0.132s] -- Execute custom install script
[0.134s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/launch/__pycache__/robotino_description.launch.cpython-312.pyc
[0.134s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/launch/robotino_description.launch.py
[0.134s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/components/robotino_body.urdf.xacro
[0.135s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/components/robotino_parts.urdf.xacro
[0.135s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/robots/robotino.urdf
[0.135s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/robots/robotino.urdf.xacro
[0.135s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/robots/robotino_description.urdf
[0.136s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/robots/robotino_description.urdf.xacro
[0.136s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/robots/robotino_description_plugin.xacro
